Date,State,TotalSamples,Negative,Positive
6/28/2020,Chhattisgarh,154526,,2694
6/29/2020,Chhattisgarh,156386,,2761
6/30/2020,Chhattisgarh,160650,,2858
7/1/2020,Chhattisgarh,163662,,2940
7/2/2020,Chhattisgarh,166656,,3013
7/3/2020,Chhattisgarh,177554,,3065
7/4/2020,Chhattisgarh,179782,,3133
7/5/2020,Chhattisgarh,182636,,3207
7/6/2020,Chhattisgarh,185399,,3305
7/7/2020,Chhattisgarh,189038,,3415
7/8/2020,Chhattisgarh,191938,,3491
7/9/2020,Chhattisgarh,196150,,3679
7/10/2020,Chhattisgarh,200006,,3806
7/11/2020,Chhattisgarh,204932,,3897
7/12/2020,Chhattisgarh,209864,,4081
7/13/2020,Chhattisgarh,213395,,4265
7/14/2020,Chhattisgarh,217433,,4379
7/15/2020,Chhattisgarh,222113,,4556
7/16/2020,Chhattisgarh,225913,,4754
7/17/2020,Chhattisgarh,232873,,4976
7/18/2020,Chhattisgarh,238890,,5246
7/19/2020,Chhattisgarh,244937,,5407
7/20/2020,Chhattisgarh,250016,,5598
7/21/2020,Chhattisgarh,254185,,5731
7/22/2020,Chhattisgarh,260227,,5968
7/23/2020,Chhattisgarh,268285,,6254
7/24/2020,Chhattisgarh,274660,,6731
7/25/2020,Chhattisgarh,280964,,7087
7/26/2020,Chhattisgarh,286291,,7489
7/27/2020,Chhattisgarh,292627,,7863
7/28/2020,Chhattisgarh,297481,,8257
7/29/2020,Chhattisgarh,302506,,8515
4/9/2020,Dadra and Nagar Haveli and Daman and Diu,80,80,0
4/10/2020,Dadra and Nagar Haveli and Daman and Diu,130,130,0
4/11/2020,Dadra and Nagar Haveli and Daman and Diu,211,211,0
4/15/2020,Dadra and Nagar Haveli and Daman and Diu,356,356,0
4/16/2020,Dadra and Nagar Haveli and Daman and Diu,382,382,0
4/21/2020,Dadra and Nagar Haveli and Daman and Diu,474,474,0
4/22/2020,Dadra and Nagar Haveli and Daman and Diu,674,674,0
4/23/2020,Dadra and Nagar Haveli and Daman and Diu,913,913,0
4/25/2020,Dadra and Nagar Haveli and Daman and Diu,1386,1386,0
4/26/2020,Dadra and Nagar Haveli and Daman and Diu,1901,1901,0
4/27/2020,Dadra and Nagar Haveli and Daman and Diu,2379,2379,0
4/29/2020,Dadra and Nagar Haveli and Daman and Diu,2921,2921,0
4/30/2020,Dadra and Nagar Haveli and Daman and Diu,3464,3464,0
5/1/2020,Dadra and Nagar Haveli and Daman and Diu,4003,4003,0
5/3/2020,Dadra and Nagar Haveli and Daman and Diu,4328,4328,0
5/4/2020,Dadra and Nagar Haveli and Daman and Diu,4434,4434,0
5/5/2020,Dadra and Nagar Haveli and Daman and Diu,4781,4780,1
5/6/2020,Dadra and Nagar Haveli and Daman and Diu,4967,4966,1
5/7/2020,Dadra and Nagar Haveli and Daman and Diu,5272,5271,1
5/8/2020,Dadra and Nagar Haveli and Daman and Diu,5430,5429,1
5/10/2020,Dadra and Nagar Haveli and Daman and Diu,5581,5580,1
5/11/2020,Dadra and Nagar Haveli and Daman and Diu,5763,5762,1
5/12/2020,Dadra and Nagar Haveli and Daman and Diu,5977,5976,1
5/13/2020,Dadra and Nagar Haveli and Daman and Diu,6294,6293,1
5/14/2020,Dadra and Nagar Haveli and Daman and Diu,6554,6553,1
5/15/2020,Dadra and Nagar Haveli and Daman and Diu,6916,6915,1
5/17/2020,Dadra and Nagar Haveli and Daman and Diu,7157,7156,1
5/18/2020,Dadra and Nagar Haveli and Daman and Diu,7571,7570,1
5/19/2020,Dadra and Nagar Haveli and Daman and Diu,7829,7828,1
5/20/2020,Dadra and Nagar Haveli and Daman and Diu,8137,8136,1
5/21/2020,Dadra and Nagar Haveli and Daman and Diu,8456,8455,1
5/22/2020,Dadra and Nagar Haveli and Daman and Diu,8979,8978,1
5/23/2020,Dadra and Nagar Haveli and Daman and Diu,9298,9296,2
5/24/2020,Dadra and Nagar Haveli and Daman and Diu,9678,9676,2
5/25/2020,Dadra and Nagar Haveli and Daman and Diu,10085,10083,2
5/26/2020,Dadra and Nagar Haveli and Daman and Diu,10388,10386,2
5/27/2020,Dadra and Nagar Haveli and Daman and Diu,10872,10870,2
5/28/2020,Dadra and Nagar Haveli and Daman and Diu,11177,11175,2
5/29/2020,Dadra and Nagar Haveli and Daman and Diu,11477,11475,2
6/1/2020,Dadra and Nagar Haveli and Daman and Diu,11693,11690,3
6/3/2020,Dadra and Nagar Haveli and Daman and Diu,12064,12052,12
6/4/2020,Dadra and Nagar Haveli and Daman and Diu,12375,12361,14
6/5/2020,Dadra and Nagar Haveli and Daman and Diu,13667,13653,14
6/6/2020,Dadra and Nagar Haveli and Daman and Diu,14780,14761,19
6/7/2020,Dadra and Nagar Haveli and Daman and Diu,15546,14926,20
6/8/2020,Dadra and Nagar Haveli and Daman and Diu,16277,15655,22
6/10/2020,Dadra and Nagar Haveli and Daman and Diu,17179,16552,27
6/13/2020,Dadra and Nagar Haveli and Daman and Diu,17649,17021,28
6/14/2020,Dadra and Nagar Haveli and Daman and Diu,18445,17813,31
6/15/2020,Dadra and Nagar Haveli and Daman and Diu,23835,23072,38
6/16/2020,Dadra and Nagar Haveli and Daman and Diu,24492,23695,51
6/17/2020,Dadra and Nagar Haveli and Daman and Diu,25575,24650,58
6/18/2020,Dadra and Nagar Haveli and Daman and Diu,26752,25461,69
6/20/2020,Dadra and Nagar Haveli and Daman and Diu,27617,26901,93
6/21/2020,Dadra and Nagar Haveli and Daman and Diu,27839,27241,97
6/22/2020,Dadra and Nagar Haveli and Daman and Diu,28364,27572,112
6/23/2020,Dadra and Nagar Haveli and Daman and Diu,29072,28096,121
6/24/2020,Dadra and Nagar Haveli and Daman and Diu,29403,28697,134
6/25/2020,Dadra and Nagar Haveli and Daman and Diu,30188,29015,154
6/26/2020,Dadra and Nagar Haveli and Daman and Diu,30602,29864,169
6/27/2020,Dadra and Nagar Haveli and Daman and Diu,31015,30316,184
6/28/2020,Dadra and Nagar Haveli and Daman and Diu,31321,30781,188
6/29/2020,Dadra and Nagar Haveli and Daman and Diu,31602,30977,203
6/30/2020,Dadra and Nagar Haveli and Daman and Diu,32031,31396,213
7/1/2020,Dadra and Nagar Haveli and Daman and Diu,32435,31783,229
7/2/2020,Dadra and Nagar Haveli and Daman and Diu,32834,32157,254
7/3/2020,Dadra and Nagar Haveli and Daman and Diu,33618,32899,304
7/4/2020,Dadra and Nagar Haveli and Daman and Diu,33995,33156,333
7/5/2020,Dadra and Nagar Haveli and Daman and Diu,34179,33341,371
7/6/2020,Dadra and Nagar Haveli and Daman and Diu,34444,33441,398
7/7/2020,Dadra and Nagar Haveli and Daman and Diu,34761,33926,423
7/8/2020,Dadra and Nagar Haveli and Daman and Diu,35234,34176,440
7/9/2020,Dadra and Nagar Haveli and Daman and Diu,35391,34585,454
7/10/2020,Dadra and Nagar Haveli and Daman and Diu,35829,34827,468
7/11/2020,Dadra and Nagar Haveli and Daman and Diu,36166,35279,480
7/12/2020,Dadra and Nagar Haveli and Daman and Diu,36310,35611,495
7/13/2020,Dadra and Nagar Haveli and Daman and Diu,36621,35696,520
7/14/2020,Dadra and Nagar Haveli and Daman and Diu,36905,35963,536
7/15/2020,Dadra and Nagar Haveli and Daman and Diu,37392,36195,552
7/16/2020,Dadra and Nagar Haveli and Daman and Diu,37880,36548,570
7/17/2020,Dadra and Nagar Haveli and Daman and Diu,38176,36898,601
7/18/2020,Dadra and Nagar Haveli and Daman and Diu,38313,37291,646
7/19/2020,Dadra and Nagar Haveli and Daman and Diu,38640,37520,684
7/20/2020,Dadra and Nagar Haveli and Daman and Diu,38880,37789,705
7/21/2020,Dadra and Nagar Haveli and Daman and Diu,39199,38022,733
7/24/2020,Dadra and Nagar Haveli and Daman and Diu,40425,39019,854
7/25/2020,Dadra and Nagar Haveli and Daman and Diu,40881,39431,890
7/26/2020,Dadra and Nagar Haveli and Daman and Diu,41143,39815,940
7/28/2020,Dadra and Nagar Haveli and Daman and Diu,41588,40258,1020
7/29/2020,Dadra and Nagar Haveli and Daman and Diu,41895,40411,1058
4/1/2020,Delhi,2621,,
4/7/2020,Delhi,9041,7308,576
4/9/2020,Delhi,9968,8643,720
4/10/2020,Delhi,11061,9662,903
4/11/2020,Delhi,11709,10218,1069
4/12/2020,Delhi,14036,11748,1154
4/13/2020,Delhi,15032,12283,1510
4/14/2020,Delhi,16282,13748,1561
4/15/2020,Delhi,16605,13865,1578
4/16/2020,Delhi,18784,14692,1640
4/17/2020,Delhi,21409,16899,1707
4/18/2020,Delhi,22283,17449,1893
4/19/2020,Delhi,24387,19393,2003
4/20/2020,Delhi,25900,20712,2081
4/21/2020,Delhi,26627,21810,2156
4/22/2020,Delhi,28309,22713,2248
4/23/2020,Delhi,30560,24538,2375
4/24/2020,Delhi,33672,26552,2514
4/25/2020,Delhi,35519,28693,2625
4/26/2020,Delhi,37613,31919,2918
4/27/2020,Delhi,39911,34145,3108
4/28/2020,Delhi,43370,36195,3314
4/29/2020,Delhi,47225,39920,3439
5/2/2020,Delhi,58210,,4122
5/3/2020,Delhi,60246,,4549
5/4/2020,Delhi,64108,,4898
5/5/2020,Delhi,67852,,5104
5/6/2020,Delhi,71934,,5532
5/7/2020,Delhi,77234,,5980
5/8/2020,Delhi,81367,,6318
5/9/2020,Delhi,84226,,6542
5/10/2020,Delhi,93810,,6923
5/11/2020,Delhi,97678,,7233
5/12/2020,Delhi,106109,,7639
5/13/2020,Delhi,113345,,7998
5/14/2020,Delhi,119736,,8470
5/15/2020,Delhi,125189,,8895
5/16/2020,Delhi,130845,,9333
5/17/2020,Delhi,135791,,9755
5/18/2020,Delhi,139727,,10054
5/19/2020,Delhi,145854,,10554
5/20/2020,Delhi,150282,,11088
5/21/2020,Delhi,154385,,11659
5/22/2020,Delhi,160255,,12319
5/23/2020,Delhi,165047,,12910
5/24/2020,Delhi,169873,,13418
5/25/2020,Delhi,174469,,14053
5/26/2020,Delhi,178579,,14465
5/27/2020,Delhi,184362,,15257
5/28/2020,Delhi,191977,,16281
5/29/2020,Delhi,199626,,17386
5/30/2020,Delhi,206739,,18549
5/31/2020,Delhi,212784,,19844
6/1/2020,Delhi,217537,,20834
6/2/2020,Delhi,223607,,22132
6/3/2020,Delhi,230145,,23645
6/4/2020,Delhi,236506,,25004
6/5/2020,Delhi,241693,,26334
6/6/2020,Delhi,246873,,27654
6/7/2020,Delhi,251915,,28936
6/8/2020,Delhi,255615,,29943
6/9/2020,Delhi,261079,,31309
6/10/2020,Delhi,266156,,32810
6/11/2020,Delhi,271516,,34687
6/12/2020,Delhi,277463,,36824
6/13/2020,Delhi,283239,,38958
6/14/2020,Delhi,290592,,41182
6/15/2020,Delhi,296697,,42829
6/16/2020,Delhi,304483,,44688
6/17/2020,Delhi,312576,,47102
6/18/2020,Delhi,321302,,49979
6/19/2020,Delhi,334376,,53116
6/20/2020,Delhi,351909,,56746
6/21/2020,Delhi,370014,,59746
6/22/2020,Delhi,384696,,62655
6/23/2020,Delhi,401648,,66602
6/24/2020,Delhi,420707,,70390
6/25/2020,Delhi,438012,,73780
6/26/2020,Delhi,459156,,77240
6/27/2020,Delhi,478336,,80188
6/28/2020,Delhi,498416,,83077
6/29/2020,Delhi,514573,,85161
6/30/2020,Delhi,531752,,87360
7/1/2020,Delhi,551708,,89802
7/2/2020,Delhi,572530,,92175
7/3/2020,Delhi,596695,,94695
7/4/2020,Delhi,620368,,97200
7/5/2020,Delhi,643504,,99444
7/6/2020,Delhi,657383,,100823
7/7/2020,Delhi,679831,,102831
7/8/2020,Delhi,701859,,104864
7/9/2020,Delhi,724148,,107051
7/10/2020,Delhi,747109,,109140
7/11/2020,Delhi,768617,,110921
7/12/2020,Delhi,789853,,112494
7/13/2020,Delhi,692845,,113740
7/14/2020,Delhi,713908,,115346
7/15/2020,Delhi,736436,,116993
7/16/2020,Delhi,756661,,118645
7/17/2020,Delhi,777125,,120107
7/18/2020,Delhi,798783,,121582
7/19/2020,Delhi,818989,,122793
7/20/2020,Delhi,830459,,123747
7/21/2020,Delhi,851311,,125096
7/22/2020,Delhi,871371,,126323
7/23/2020,Delhi,889597,,127364
7/24/2020,Delhi,908735,,128389
7/25/2020,Delhi,929244,,129531
7/26/2020,Delhi,946777,,130606
7/27/2020,Delhi,958283,,131219
7/28/2020,Delhi,976827,,132275
7/29/2020,Delhi,994219,,133310
7/30/2020,Delhi,1013694,,134403
4/2/2020,Goa,220,197,5
4/9/2020,Goa,344,,7
4/10/2020,Goa,354,,7
4/12/2020,Goa,406,,7
4/13/2020,Goa,440,,7
4/14/2020,Goa,479,,7
4/15/2020,Goa,556,,7
4/16/2020,Goa,611,,7
4/17/2020,Goa,673,,7
4/18/2020,Goa,758,,7
4/19/2020,Goa,826,,7
4/20/2020,Goa,901,,7
4/21/2020,Goa,1004,,7
4/22/2020,Goa,1116,,7
4/23/2020,Goa,1206,,7
4/27/2020,Goa,1541,,7
4/28/2020,Goa,1776,,7
4/29/2020,Goa,1871,,7
4/30/2020,Goa,2031,,7
5/1/2020,Goa,2181,,7
5/2/2020,Goa,2372,,7
5/3/2020,Goa,2548,,7
5/4/2020,Goa,2899,,7
5/5/2020,Goa,3096,,7
5/6/2020,Goa,3411,,7
5/8/2020,Goa,4140,,7
5/9/2020,Goa,4524,,7
5/10/2020,Goa,4848,,7
5/11/2020,Goa,5307,,7
5/14/2020,Goa,6736,,7
5/15/2020,Goa,7304,,7
5/16/2020,Goa,8011,,20
5/17/2020,Goa,8785,,29
5/18/2020,Goa,8785,,29
5/19/2020,Goa,9549,,46
5/20/2020,Goa,10136,,50
5/21/2020,Goa,10859,,52
5/22/2020,Goa,11362,,54
5/23/2020,Goa,11945,,55
5/24/2020,Goa,12499,,66
5/25/2020,Goa,12860,,67
5/26/2020,Goa,13303,,67
5/27/2020,Goa,13911,,68
5/28/2020,Goa,14782,,69
5/29/2020,Goa,16141,,69
5/30/2020,Goa,17871,,70
5/31/2020,Goa,19491,,71
6/1/2020,Goa,20780,,73
6/2/2020,Goa,22378,,79
6/3/2020,Goa,23816,,126
6/4/2020,Goa,25300,,166
6/5/2020,Goa,26208,,196
6/6/2020,Goa,27402,,267
6/7/2020,Goa,29739,,300
6/8/2020,Goa,31455,,330
6/9/2020,Goa,32194,,359
6/10/2020,Goa,35332,,387
6/11/2020,Goa,37858,,417
6/12/2020,Goa,39298,,463
6/13/2020,Goa,40723,,523
6/14/2020,Goa,41835,,564
6/15/2020,Goa,42703,,592
6/16/2020,Goa,44378,,629
6/17/2020,Goa,45685,,656
6/18/2020,Goa,46996,,705
6/19/2020,Goa,49718,,725
6/20/2020,Goa,51404,,754
6/21/2020,Goa,52301,,818
6/22/2020,Goa,53050,,864
6/23/2020,Goa,54781,,909
6/24/2020,Goa,56925,,951
6/25/2020,Goa,58584,,995
6/26/2020,Goa,60350,,1039
6/27/2020,Goa,61687,,1128
6/28/2020,Goa,62945,,1198
6/29/2020,Goa,64375,,1251
6/30/2020,Goa,66491,,1315
7/1/2020,Goa,67822,,1387
7/2/2020,Goa,70738,,1482
7/3/2020,Goa,72691,,1576
7/4/2020,Goa,74314,,1684
7/5/2020,Goa,75791,,1761
7/6/2020,Goa,77033,,1813
7/7/2020,Goa,79864,,1903
7/8/2020,Goa,82555,,2039
7/9/2020,Goa,84945,,2151
7/10/2020,Goa,87865,,2251
7/11/2020,Goa,90817,,2368
7/12/2020,Goa,92191,,2453
7/13/2020,Goa,93968,,2583
7/14/2020,Goa,96692,,2753
7/15/2020,Goa,99234,,2951
7/16/2020,Goa,101554,,3108
7/17/2020,Goa,103527,,3304
7/18/2020,Goa,105731,,3484
7/19/2020,Goa,107266,,3657
7/20/2020,Goa,108459,,3853
7/21/2020,Goa,111296,,4027
7/22/2020,Goa,114309,,4176
7/23/2020,Goa,117321,,4350
7/24/2020,Goa,119455,,4540
7/25/2020,Goa,121771,,4686
7/26/2020,Goa,123130,,4861
7/27/2020,Goa,124746,,5119
7/28/2020,Goa,126655,115434,5287
7/29/2020,Goa,128289,,5489
7/30/2020,Goa,129719,,5704
4/8/2020,Gujarat,4224,3905,186
4/10/2020,Gujarat,7718,7237,378
4/11/2020,Gujarat,9763,8888,468
4/12/2020,Gujarat,11715,10867,516
4/13/2020,Gujarat,14251,12970,572
4/14/2020,Gujarat,14980,14363,617
4/15/2020,Gujarat,19197,18431,766
4/16/2020,Gujarat,20903,19974,929
4/17/2020,Gujarat,23483,22339,1099
4/18/2020,Gujarat,26102,24726,1376
4/19/2020,Gujarat,29104,27361,1743
4/20/2020,Gujarat,33316,31377,1939
4/21/2020,Gujarat,36829,34651,2178
4/22/2020,Gujarat,39421,37014,2407
4/23/2020,Gujarat,42384,39760,2624
4/24/2020,Gujarat,46743,41007,2815
4/25/2020,Gujarat,48315,45254,3061
4/26/2020,Gujarat,51091,47790,3301
4/27/2020,Gujarat,53575,50028,3547
4/28/2020,Gujarat,56101,52327,3774
4/29/2020,Gujarat,59488,55406,4082
4/30/2020,Gujarat,64007,59612,4395
5/1/2020,Gujarat,68774,64053,4721
5/2/2020,Gujarat,74116,69062,5054
5/3/2020,Gujarat,80060,74632,5428
5/4/2020,Gujarat,84648,78844,5804
5/5/2020,Gujarat,89632,83387,6245
5/6/2020,Gujarat,95191,88566,6625
5/7/2020,Gujarat,100553,93540,7013
5/8/2020,Gujarat,105386,97984,7403
5/9/2020,Gujarat,109650,101853,7797
5/10/2020,Gujarat,113493,105298,8195
5/11/2020,Gujarat,116470,107929,8541
5/12/2020,Gujarat,119536,110633,8903
5/13/2020,Gujarat,122297,113029,9268
5/14/2020,Gujarat,124708,115117,9591
5/15/2020,Gujarat,127859,117927,9932
5/16/2020,Gujarat,138407,127418,10989
5/17/2020,Gujarat,143600,132220,11380
5/18/2020,Gujarat,148824,137078,11746
5/19/2020,Gujarat,154674,142533,12141
5/20/2020,Gujarat,160772,148233,12539
5/21/2020,Gujarat,166152,153242,12910
5/22/2020,Gujarat,172562,159289,13273
5/23/2020,Gujarat,178068,164399,13669
5/24/2020,Gujarat,182868,168806,14056
5/25/2020,Gujarat,186361,171893,14468
5/26/2020,Gujarat,189313,,14821
5/27/2020,Gujarat,193863,,15203
5/28/2020,Gujarat,198048,,15572
5/29/2020,Gujarat,201481,,15944
5/30/2020,Gujarat,205780,,16356
5/31/2020,Gujarat,211930,,16794
6/1/2020,Gujarat,216258,,17217
6/2/2020,Gujarat,221610,,17632
6/3/2020,Gujarat,227898,,18117
6/4/2020,Gujarat,233921,,18609
6/5/2020,Gujarat,239911,,19119
6/6/2020,Gujarat,245606,,19617
6/7/2020,Gujarat,251686,,20097
6/8/2020,Gujarat,256289,,20574
6/9/2020,Gujarat,261587,,21044
6/10/2020,Gujarat,266404,,21554
6/11/2020,Gujarat,272924,,22067
6/12/2020,Gujarat,278137,,22562
6/13/2020,Gujarat,283623,,23079
6/14/2020,Gujarat,288565,,23590
6/15/2020,Gujarat,292909,,24104
6/16/2020,Gujarat,296335,,24628
6/17/2020,Gujarat,303671,,25148
6/18/2020,Gujarat,308744,,25658
6/19/2020,Gujarat,314301,,26198
6/20/2020,Gujarat,319414,,26737
6/21/2020,Gujarat,324874,,27317
6/22/2020,Gujarat,329343,,27880
6/23/2020,Gujarat,334326,,28429
6/24/2020,Gujarat,340080,,29001
6/25/2020,Gujarat,345278,,29578
6/26/2020,Gujarat,351179,321021,30158
6/27/2020,Gujarat,357148,,30773
6/28/2020,Gujarat,363306,,31397
6/29/2020,Gujarat,367739,,32023
6/30/2020,Gujarat,373613,,32643
7/1/2020,Gujarat,380640,,33318
7/2/2020,Gujarat,388065,,33999
7/3/2020,Gujarat,395873,361187,34686
7/4/2020,Gujarat,404354,368956,35398
7/5/2020,Gujarat,412124,376001,36123
7/6/2020,Gujarat,418464,381606,36858
7/7/2020,Gujarat,425830,388194,37636
7/8/2020,Gujarat,433864,395445,38419
7/9/2020,Gujarat,441692,402412,39280
7/10/2020,Gujarat,449349,409194,40155
7/11/2020,Gujarat,457066,416039,41027
7/12/2020,Gujarat,464646,422749,41897
7/13/2020,Gujarat,470265,427457,42808
7/14/2020,Gujarat,478367,434644,43723
7/15/2020,Gujarat,487707,443059,44648
7/16/2020,Gujarat,499170,453603,45567
7/17/2020,Gujarat,512000,465484,46516
7/18/2020,Gujarat,524297,476821,47476
7/19/2020,Gujarat,536122,487681,48441
7/20/2020,Gujarat,548989,499550,49439
7/21/2020,Gujarat,562682,512217,50465
7/22/2020,Gujarat,576706,525221,51485
7/23/2020,Gujarat,591561,,52563
7/24/2020,Gujarat,606718,553087,53631
7/25/2020,Gujarat,620662,565950,54712
7/26/2020,Gujarat,642370,,55822
7/27/2020,Gujarat,667844,610970,56874
7/28/2020,Gujarat,690092,632110,57982
7/29/2020,Gujarat,713006,653880,59126
4/3/2020,Haryana,1325,938,44
4/7/2020,Haryana,2520,1821,141
4/8/2020,Haryana,2650,1885,153
4/9/2020,Haryana,2964,2017,156
4/10/2020,Haryana,3527,2447,162
4/11/2020,Haryana,3663,2472,165
4/12/2020,Haryana,3903,2513,181
4/13/2020,Haryana,4489,2961,182
4/14/2020,Haryana,5210,3681,184
4/15/2020,Haryana,7388,5581,190
4/16/2020,Haryana,8064,6465,214
4/17/2020,Haryana,8884,7148,223
4/18/2020,Haryana,10454,8093,232
4/19/2020,Haryana,12687,10230,250
4/20/2020,Haryana,13894,11523,251
4/21/2020,Haryana,14562,12253,255
4/22/2020,Haryana,15561,13397,264
4/23/2020,Haryana,17582,15452,270
4/24/2020,Haryana,18845,16642,275
4/25/2020,Haryana,20270,17787,287
4/26/2020,Haryana,21467,19241,296
4/27/2020,Haryana,22993,20702,301
4/28/2020,Haryana,24826,22578,308
4/29/2020,Haryana,26148,24071,311
4/30/2020,Haryana,28202,25929,339
5/1/2020,Haryana,30191,27784,357
5/2/2020,Haryana,31200,28867,369
5/3/2020,Haryana,35278,32583,442
5/4/2020,Haryana,38183,34501,517
5/5/2020,Haryana,40982,36806,548
5/6/2020,Haryana,43279,38590,594
5/7/2020,Haryana,46495,41861,625
5/8/2020,Haryana,49746,43974,647
5/9/2020,Haryana,53282,48468,675
5/10/2020,Haryana,56983,51046,703
5/11/2020,Haryana,59735,53697,730
5/12/2020,Haryana,62377,56440,780
5/13/2020,Haryana,65785,59890,793
5/14/2020,Haryana,69191,63791,818
5/15/2020,Haryana,72326,66687,854
5/16/2020,Haryana,75097,69660,887
5/17/2020,Haryana,78029,72494,910
5/18/2020,Haryana,80698,75045,928
5/19/2020,Haryana,82544,77296,964
5/20/2020,Haryana,83944,78379,970
5/21/2020,Haryana,88138,82372,1031
5/22/2020,Haryana,91119,85317,1067
5/23/2020,Haryana,94035,88051,1131
5/24/2020,Haryana,97006,91138,1184
5/25/2020,Haryana,99987,94725,1213
5/26/2020,Haryana,102018,97350,1305
5/27/2020,Haryana,104747,99555,1381
5/28/2020,Haryana,108031,102260,1504
5/29/2020,Haryana,110940,105169,1721
5/30/2020,Haryana,114683,108385,1923
5/31/2020,Haryana,118138,11709,2091
6/1/2020,Haryana,121779,114792,2356
6/2/2020,Haryana,124564,117340,2652
6/3/2020,Haryana,127895,120393,2954
6/4/2020,Haryana,132575,124769,3281
6/5/2020,Haryana,137452,129027,3597
6/6/2020,Haryana,141688,132684,3952
6/7/2020,Haryana,145722,136555,4448
6/8/2020,Haryana,150220,140081,4854
6/9/2020,Haryana,153692,143513,5209
6/10/2020,Haryana,158470,147453,5438
6/11/2020,Haryana,162967,151060,5968
6/12/2020,Haryana,167501,155395,6334
6/13/2020,Haryana,171560,159333,6749
6/14/2020,Haryana,185722,172678,7208
6/15/2020,Haryana,189914,176741,7722
6/16/2020,Haryana,193421,180051,8272
6/17/2020,Haryana,197703,183395,8832
6/18/2020,Haryana,202808,187303,9218
6/19/2020,Haryana,207675,192082,9743
6/20/2020,Haryana,212430,196836,10223
6/21/2020,Haryana,217797,201984,10635
6/22/2020,Haryana,222948,206436,11025
6/23/2020,Haryana,226951,210998,11520
6/24/2020,Haryana,231673,214896,12010
6/25/2020,Haryana,236898,219064,12463
6/26/2020,Haryana,241941,223797,12884
6/27/2020,Haryana,247139,228275,13427
6/28/2020,Haryana,252356,233567,13829
6/29/2020,Haryana,260341,241356,14210
6/30/2020,Haryana,264203,244000,14548
7/1/2020,Haryana,269726,249453,14941
7/2/2020,Haryana,277031,256053,15509
7/3/2020,Haryana,288478,267194,16003
7/4/2020,Haryana,298094,275869,16548
7/5/2020,Haryana,307159,284570,17005
7/6/2020,Haryana,315853,292701,17504
7/7/2020,Haryana,323491,300195,17999
7/8/2020,Haryana,332504,308289,18690
7/9/2020,Haryana,342404,317159,19369
7/10/2020,Haryana,352343,326679,19934
7/11/2020,Haryana,363428,336790,20582
7/12/2020,Haryana,372621,345903,21240
7/13/2020,Haryana,381420,353885,21929
7/14/2020,Haryana,388760,360991,22628
7/15/2020,Haryana,400155,371350,23306
7/16/2020,Haryana,409852,380138,24002
7/17/2020,Haryana,424692,393627,24797
7/18/2020,Haryana,436535,404852,25547
7/19/2020,Haryana,447345,414438,26164
7/20/2020,Haryana,457310,424137,26858
7/21/2020,Haryana,467740,434300,27462
7/22/2020,Haryana,477412,443585,28186
7/23/2020,Haryana,490414,455864,28975
7/24/2020,Haryana,505220,469631,29755
7/25/2020,Haryana,536323,500579,30538
7/26/2020,Haryana,549463,512734,31332
7/27/2020,Haryana,559326,521416,32127
7/28/2020,Haryana,570219,531644,32876
7/29/2020,Haryana,582639,543201,33631
7/30/2020,Haryana,600893,560863,34254
4/10/2020,Himachal Pradesh,900,870,30
4/11/2020,Himachal Pradesh,900,870,30
4/12/2020,Himachal Pradesh,1113,944,32
4/13/2020,Himachal Pradesh,1210,1109,32
4/14/2020,Himachal Pradesh,1311,1232,32
4/15/2020,Himachal Pradesh,1426,1391,35
4/16/2020,Himachal Pradesh,1604,1559,35
4/17/2020,Himachal Pradesh,1992,1740,36
4/18/2020,Himachal Pradesh,2207,2091,39
4/19/2020,Himachal Pradesh,2553,2337,39
4/20/2020,Himachal Pradesh,2892,2714,39
4/21/2020,Himachal Pradesh,3341,2933,39
4/22/2020,Himachal Pradesh,3700,3510,39
4/23/2020,Himachal Pradesh,4020,3943,40
4/24/2020,Himachal Pradesh,4328,4160,40
4/25/2020,Himachal Pradesh,4623,4363,40
4/26/2020,Himachal Pradesh,4901,4794,40
4/27/2020,Himachal Pradesh,5106,5022,40
4/28/2020,Himachal Pradesh,5391,5344,40
4/29/2020,Himachal Pradesh,5772,5726,40
4/30/2020,Himachal Pradesh,6133,6091,40
5/1/2020,Himachal Pradesh,6472,6432,40
5/2/2020,Himachal Pradesh,6836,6791,40
5/3/2020,Himachal Pradesh,7185,7133,40
5/4/2020,Himachal Pradesh,7430,7320,41
5/5/2020,Himachal Pradesh,7893,7800,42
5/6/2020,Himachal Pradesh,8491,8055,43
5/7/2020,Himachal Pradesh,9005,8833,46
5/8/2020,Himachal Pradesh,9522,9434,50
5/9/2020,Himachal Pradesh,10208,10047,52
5/10/2020,Himachal Pradesh,10791,10343,55
5/11/2020,Himachal Pradesh,11267,11016,59
5/12/2020,Himachal Pradesh,12224,11846,66
5/13/2020,Himachal Pradesh,13190,12867,67
5/14/2020,Himachal Pradesh,14256,13307,70
5/15/2020,Himachal Pradesh,15557,15076,76
5/16/2020,Himachal Pradesh,16534,16079,78
5/17/2020,Himachal Pradesh,17417,17049,80
5/18/2020,Himachal Pradesh,18224,17946,90
5/19/2020,Himachal Pradesh,19645,18994,92
5/20/2020,Himachal Pradesh,21147,20449,110
5/21/2020,Himachal Pradesh,22641,21812,152
5/22/2020,Himachal Pradesh,24246,23307,168
5/23/2020,Himachal Pradesh,25905,24625,185
5/24/2020,Himachal Pradesh,27288,26524,203
